	cand_id	database match	percent identity	align length	e-value	BGC match	domain class	domain subclass	
KS22	NZ_CP052033.1.region016_1_5_1239_1664	meridamycin_KS15_cisAT	72	426	1.26e-196	meridamycin	type I modular cis-AT	no subclass
KS4	NZ_CP052033.1.region016_1_5_210_615	chlorothricin_KS01_cisloading	64	423	3.29e-163	chlorothricin	type I modular cis-AT	loading module
KS20	NZ_CP052032.1.region010_5_5_1239_1664	meridamycin_KS15_cisAT	72	426	1.26e-196	meridamycin	type I modular cis-AT	no subclass
KS6	NZ_CP052032.1.region010_5_5_210_615	chlorothricin_KS01_cisloading	64	423	3.29e-163	chlorothricin	type I modular cis-AT	loading module
KS21	NC_021985.1.region019_5_5_1239_1664	meridamycin_KS15_cisAT	72	426	1.26e-196	meridamycin	type I modular cis-AT	no subclass
KS5	NC_021985.1.region019_5_5_210_615	chlorothricin_KS01_cisloading	64	423	3.29e-163	chlorothricin	type I modular cis-AT	loading module
KS34	NZ_CP052033.1.region016_2_8_173_594	divergolide_KS03_cisAT	70	425	1.74e-190	divergolide	type I modular cis-AT	no subclass
KS36	NZ_CP052032.1.region010_4_8_173_594	divergolide_KS03_cisAT	70	425	1.74e-190	divergolide	type I modular cis-AT	no subclass
KS35	NC_021985.1.region019_4_8_173_594	divergolide_KS03_cisAT	70	425	1.74e-190	divergolide	type I modular cis-AT	no subclass
KS23	NC_014318.1.region016_6_5_930_1337	chondrochloren_KS01_cisAT	60	425	4.59e-148	chondrochloren	type I modular cis-AT	no subclass
KS26	NC_022116.1.region016_6_5_930_1337	chondrochloren_KS01_cisAT	60	425	2.21e-147	chondrochloren	type I modular cis-AT	no subclass
KS24	NC_018266.1.region016_6_5_930_1337	chondrochloren_KS01_cisAT	60	425	2.21e-147	chondrochloren	type I modular cis-AT	no subclass
KS25	NC_017186.1.region016_6_5_930_1337	chondrochloren_KS01_cisAT	60	425	2.21e-147	chondrochloren	type I modular cis-AT	no subclass
KS28	NZ_CP073655.1.region027_6_7_48_503	ShewanellaPUFA_KS01_iPKSPUFA	53	456	9.92e-147	Shewanella polyunsaturated fatty acid	type I iterative cis-AT	PUFA
KS30	NZ_CP017839.1.region019_4_7_48_503	ShewanellaPUFA_KS01_iPKSPUFA	53	456	9.92e-147	Shewanella polyunsaturated fatty acid	type I iterative cis-AT	PUFA
